language,x,y,label
English,737440.0,0.3106881858009868,New Edits
English,737441.0,0.3553192922393598,New Edits
English,737442.0,0.4598937784267406,New Edits
English,737443.0,0.6470907560950512,New Edits
English,737444.0,0.9321154167960143,New Edits
English,737445.0,1.3066545374847585,New Edits
English,737446.0,1.7335751365254466,New Edits
English,737447.0,2.15305525162396,New Edits
English,737448.0,2.487515960985464,New Edits
English,737449.0,2.6489615309155283,New Edits
English,737450.0,2.576943845312263,New Edits
English,737451.0,2.297865076316704,New Edits
English,737452.0,1.9332076245915935,New Edits
English,737453.0,1.622717140931274,New Edits
English,737454.0,1.4371697531572352,New Edits
English,737455.0,1.3639805020073692,New Edits
English,737456.0,1.353450259058169,New Edits
English,737457.0,1.360333381742406,New Edits
English,737458.0,1.35344469440552,New Edits
English,737459.0,1.3125725727856135,New Edits
English,737460.0,1.2296207866618505,New Edits
English,737461.0,1.111136006994439,New Edits
English,737462.0,0.9769992667604002,New Edits
English,737463.0,0.8538899012591435,New Edits
English,737464.0,0.766465026772902,New Edits
English,737465.0,0.7294807043229716,New Edits
English,737466.0,0.7418784143066005,New Edits
English,737467.0,0.7848483000404505,New Edits
English,737468.0,0.8303729212847721,New Edits
English,737469.0,0.8571373557195723,New Edits
English,737454.0,1.4371697531572352,Global Event
Italian,737440.0,0.004368012579694891,New Edits
Italian,737441.0,0.01566844437452882,New Edits
Italian,737442.0,0.052228977542063376,New Edits
Italian,737443.0,0.14042226587622403,New Edits
Italian,737444.0,0.3066325448142264,New Edits
Italian,737445.0,0.5535577320840095,New Edits
Italian,737446.0,0.8460368833435801,New Edits
Italian,737447.0,1.1273123257663622,New Edits
Italian,737448.0,1.3529927352123337,New Edits
Italian,737449.0,1.5136649244408298,New Edits
Italian,737450.0,1.6356408414467973,New Edits
Italian,737451.0,1.7614722124632158,New Edits
Italian,737452.0,1.91017941418426,New Edits
Italian,737453.0,2.042890141131006,New Edits
Italian,737454.0,2.0764870525322667,New Edits
Italian,737455.0,1.945715658308687,New Edits
Italian,737456.0,1.6566535616404,New Edits
Italian,737457.0,1.283357053759661,New Edits
Italian,737458.0,0.9220570873218098,New Edits
Italian,737459.0,0.6488303144106083,New Edits
Italian,737460.0,0.5039699187762217,New Edits
Italian,737461.0,0.49578254893011897,New Edits
Italian,737462.0,0.6074793659292925,New Edits
Italian,737463.0,0.8024046160523218,New Edits
Italian,737464.0,1.0325131522173594,New Edits
Italian,737465.0,1.249504509244219,New Edits
Italian,737466.0,1.414521318090781,New Edits
Italian,737467.0,1.5091572610131037,New Edits
Italian,737468.0,1.543496313789527,New Edits
Italian,737469.0,1.547834069802637,New Edits
Italian,737454.0,2.0764870525322667,Global Event
French,737440.0,0.02830969104391535,New Edits
French,737441.0,0.05110628143422725,New Edits
French,737442.0,0.09956118508413493,New Edits
French,737443.0,0.1793471179859919,New Edits
French,737444.0,0.2990002512332451,New Edits
French,737445.0,0.46728398666675897,New Edits
French,737446.0,0.6856918584311877,New Edits
French,737447.0,0.9401614567140243,New Edits
French,737448.0,1.201013644828745,New Edits
French,737449.0,1.4360510416957397,New Edits
French,737450.0,1.6301383111604033,New Edits
French,737451.0,1.7942630676457678,New Edits
French,737452.0,1.9478566250421772,New Edits
French,737453.0,2.0820071130990776,New Edits
French,737454.0,2.143805601654352,New Edits
French,737455.0,2.0739607483782367,New Edits
French,737456.0,1.8668882492108723,New Edits
French,737457.0,1.584444978214903,New Edits
French,737458.0,1.3108146835336756,New Edits
French,737459.0,1.1044721893530935,New Edits
French,737460.0,0.9856446916792188,New Edits
French,737461.0,0.9426944069102008,New Edits
French,737462.0,0.9387006919993754,New Edits
French,737463.0,0.9279284267247156,New Edits
French,737464.0,0.8848697586840668,New Edits
French,737465.0,0.8188877387221243,New Edits
French,737466.0,0.7577303520185821,New Edits
French,737467.0,0.7207272676477451,New Edits
French,737468.0,0.7077083579156369,New Edits
French,737469.0,0.7065113226045889,New Edits
French,737454.0,2.143805601654352,Global Event
Chinese,737440.0,0.6494784249303944,New Edits
Chinese,737441.0,0.9649274256051955,New Edits
Chinese,737442.0,1.711044420192718,New Edits
Chinese,737443.0,2.9698653473527505,New Edits
Chinese,737444.0,4.580087019279347,New Edits
Chinese,737445.0,6.0705072360478916,New Edits
Chinese,737446.0,6.899938516551112,New Edits
Chinese,737447.0,6.840956986703722,New Edits
Chinese,737448.0,6.108330977938917,New Edits
Chinese,737449.0,5.098862312327924,New Edits
Chinese,737450.0,4.074382476215769,New Edits
Chinese,737451.0,3.118283319386335,New Edits
Chinese,737452.0,2.278951988945591,New Edits
Chinese,737453.0,1.6365598890599706,New Edits
Chinese,737454.0,1.248870778023705,New Edits
Chinese,737455.0,1.1051902927207227,New Edits
Chinese,737456.0,1.1440830646964297,New Edits
Chinese,737457.0,1.288261785470037,New Edits
Chinese,737458.0,1.4591724712949832,New Edits
Chinese,737459.0,1.5839475591363381,New Edits
Chinese,737460.0,1.6124552891663626,New Edits
Chinese,737461.0,1.533810436494624,New Edits
Chinese,737462.0,1.3742727042661531,New Edits
Chinese,737463.0,1.178474626675771,New Edits
Chinese,737464.0,0.9914140028264811,New Edits
Chinese,737465.0,0.8486511877961959,New Edits
Chinese,737466.0,0.7690019759243605,New Edits
Chinese,737467.0,0.7473039518593514,New Edits
Chinese,737468.0,0.7577585758904009,New Edits
Chinese,737469.0,0.7713148182108969,New Edits
Chinese,737454.0,1.248870778023705,Global Event
Danish,737440.0,0.0,New Edits
