language,x,y,label
Indonesian,737440.0,0.011575214831007697,New Edits
Indonesian,737441.0,0.04113214274914542,New Edits
Indonesian,737442.0,0.13572541009298014,New Edits
Indonesian,737443.0,0.35916731121113715,New Edits
Indonesian,737444.0,0.765285022453714,New Edits
Indonesian,737445.0,1.3320586207421181,New Edits
Indonesian,737446.0,1.936728261959841,New Edits
Indonesian,737447.0,2.4298389460471657,New Edits
Indonesian,737448.0,2.743014380305034,New Edits
Indonesian,737449.0,2.906405649344846,New Edits
Indonesian,737450.0,2.973992115044793,New Edits
Indonesian,737451.0,2.968120822029184,New Edits
Indonesian,737452.0,2.8924272383686507,New Edits
Indonesian,737453.0,2.7618391270852394,New Edits
Indonesian,737454.0,2.60399745999435,New Edits
Indonesian,737455.0,2.4389193111252925,New Edits
Indonesian,737456.0,2.2604551275932856,New Edits
Indonesian,737457.0,2.040045846596568,New Edits
Indonesian,737458.0,1.7605800781050243,New Edits
Indonesian,737459.0,1.4487259560503525,New Edits
Indonesian,737460.0,1.1625465097870769,New Edits
Indonesian,737461.0,0.945393554295783,New Edits
Indonesian,737462.0,0.8010129322055741,New Edits
Indonesian,737463.0,0.7138638302419232,New Edits
Indonesian,737464.0,0.6809530608040738,New Edits
Indonesian,737465.0,0.7107716260868137,New Edits
Indonesian,737466.0,0.7943827147708589,New Edits
Indonesian,737467.0,0.8938307239989992,New Edits
Indonesian,737468.0,0.9684177689122593,New Edits
Indonesian,737469.0,1.0033747349642699,New Edits
Indonesian,737454.0,2.60399745999435,Global Event
Thai,737440.0,0.007246019047296869,New Edits
Thai,737441.0,0.027986400334174495,New Edits
Thai,737442.0,0.10087664164386051,New Edits
Thai,737443.0,0.29527091538800176,New Edits
Thai,737444.0,0.7091707479571809,New Edits
Thai,737445.0,1.417697375508852,New Edits
Thai,737446.0,2.4005205825324616,New Edits
Thai,737447.0,3.5046922886162277,New Edits
Thai,737448.0,4.477479933309899,New Edits
Thai,737449.0,5.057153761156616,New Edits
Thai,737450.0,5.097492168550455,New Edits
Thai,737451.0,4.660300185029238,New Edits
Thai,737452.0,3.970743057622372,New Edits
Thai,737453.0,3.255692863118842,New Edits
Thai,737454.0,2.63044946111433,New Edits
Thai,737455.0,2.1141110200971642,New Edits
Thai,737456.0,1.6881041250536708,New Edits
Thai,737457.0,1.3235477658974562,New Edits
Thai,737458.0,0.9968807373883461,New Edits
Thai,737459.0,0.7110487283679965,New Edits
