language,x,y,label
English,737489.0,0.6495359866966905,New Edits
English,737490.0,0.6882193302559663,New Edits
English,737491.0,0.7589054739983225,New Edits
English,737492.0,0.8539277134949486,New Edits
English,737493.0,0.9679207300803535,New Edits
English,737494.0,1.0957843660292315,New Edits
English,737495.0,1.2305697636382649,New Edits
English,737496.0,1.3629375313543939,New Edits
English,737497.0,1.4788890974499995,New Edits
English,737498.0,1.5599226907682548,New Edits
English,737499.0,1.5923059912609676,New Edits
English,737500.0,1.5791097862286407,New Edits
English,737501.0,1.541582143365035,New Edits
English,737502.0,1.5062677104436297,New Edits
English,737503.0,1.4874817750306177,New Edits
English,737504.0,1.480834589727896,New Edits
English,737505.0,1.4734892169884761,New Edits
English,737506.0,1.4567543178197468,New Edits
English,737507.0,1.427322006569991,New Edits
English,737508.0,1.3838268661278108,New Edits
English,737509.0,1.329889426767542,New Edits
English,737510.0,1.2774165690576147,New Edits
English,737511.0,1.237377747096165,New Edits
English,737512.0,1.2036261884904667,New Edits
English,737513.0,1.1528283139592688,New Edits
English,737514.0,1.0678721472320356,New Edits
English,737515.0,0.9587789804801835,New Edits
English,737516.0,0.8576566487495677,New Edits
English,737517.0,0.7976258789086745,New Edits
English,737503.0,1.4874817750306177,Local Event
Italian,737479.0,3.3313982644420523,New Edits
Italian,737480.0,3.3656449198739864,New Edits
Italian,737481.0,3.289183959312819,New Edits
Italian,737482.0,2.969309860824934,New Edits
Italian,737483.0,2.4348078722025717,New Edits
Italian,737484.0,1.8594516739221465,New Edits
Italian,737485.0,1.408846851324931,New Edits
Italian,737486.0,1.130566252982409,New Edits
Italian,737487.0,0.985307101782527,New Edits
Italian,737488.0,0.9301783201277216,New Edits
Italian,737489.0,0.9455776380128457,New Edits
Italian,737490.0,1.015035098763856,New Edits
Italian,737491.0,1.1153108596440284,New Edits
Italian,737492.0,1.2230728939316786,New Edits
Italian,737493.0,1.313937790807655,New Edits
Italian,737494.0,1.3552861927000786,New Edits
Italian,737495.0,1.3123461322171341,New Edits
Italian,737496.0,1.1726918143427165,New Edits
Italian,737497.0,0.9658937730305779,New Edits
Italian,737498.0,0.7528511903638596,New Edits
Italian,737499.0,0.5912036332983026,New Edits
Italian,737500.0,0.5072418009400439,New Edits
Italian,737501.0,0.49098763627612985,New Edits
Italian,737502.0,0.5089584143645458,New Edits
Italian,737503.0,0.5233977236440257,New Edits
Italian,737504.0,0.5110173568726956,New Edits
Italian,737505.0,0.47326520938682803,New Edits
Italian,737506.0,0.43016033956024624,New Edits
